User,Time,Working Directory,Command,Duration
10.103.130.144,2022-04-15 18:32:17,/home/ubuntu,ls -la,0:09:49
10.103.130.144,2022-04-15 18:32:25,/home/ubuntu,ls /home/,0:00:08
10.103.130.144,2022-04-15 18:32:29,/home/ubuntu,ls,0:00:04
10.103.130.144,2022-04-15 18:32:46,/home/ubuntu,ls /home/ubuntu/ -l,0:00:17
10.103.130.144,2022-04-15 18:35:35,/home/ubuntu,ls,0:02:49
10.103.130.144,2022-04-15 18:37:48,/home/ubuntu,unzip memory.zip,0:02:13
10.103.130.144,2022-04-15 18:37:48,/home/ubuntu,unzip memory.zip,0:00:00
10.103.130.144,2022-04-15 18:37:48,/home/ubuntu,unzip memory.zip,0:00:00
10.103.130.144,2022-04-15 18:37:54,/home/ubuntu,ls,0:00:06
10.103.130.144,2022-04-15 18:43:07,/home/ubuntu,vol.py -f memory.dmp imageinfo,0:05:13
10.103.130.144,2022-04-15 18:46:58,/home/ubuntu,python vol.py --info,0:03:51
10.103.130.144,2022-04-15 18:47:35,/home/ubuntu,ls,0:00:37
10.103.130.144,2022-04-15 18:47:47,/home/ubuntu,touch vol,0:00:12
10.103.130.144,2022-04-15 18:47:52,/home/ubuntu,cd vol,0:00:05
10.103.130.144,2022-04-15 18:47:54,/home/ubuntu,ls,0:00:02
10.103.130.144,2022-04-15 18:48:00,/home/ubuntu,cd /vol,0:00:06
10.103.130.144,2022-04-15 18:48:45,/home/ubuntu,cd /vol,0:00:45
10.103.130.144,2022-04-15 18:48:56,/home/ubuntu,gitclone https://github.com/volatilityfoundation/volatility.git,0:00:11
10.103.130.144,2022-04-15 18:49:47,/home/ubuntu,git clone https://github.com/volatilityfoundation/volatility.git,0:00:51
10.103.130.144,2022-04-15 18:49:49,/home/ubuntu,ls,0:00:02
10.103.130.144,2022-04-15 18:49:59,/home/ubuntu/volatility,cd \volatility,0:00:10
10.103.130.144,2022-04-15 18:50:27,/home/ubuntu/volatility,python vol.py --info,0:00:28
10.103.130.144,2022-04-15 18:56:45,/home/ubuntu,cd,0:06:18
10.103.130.144,2022-04-15 18:56:46,/home/ubuntu,ls,0:00:01
10.103.130.144,2022-04-15 18:57:05,/home/ubuntu,mv memory.dmp /volatility,0:00:19
10.103.130.144,2022-04-15 18:59:27,/home/ubuntu,sudo su,0:02:22
10.103.130.144,2022-04-15 18:59:44,/home/ubuntu,cd /volatility,0:00:17
